frame,t,clearance,hit,pair_i,pair_j,head_x,head_y
0,412.000000,0.55776547,0,,,0.79301627,2.16618626
1,412.020000,0.55788876,0,,,0.81148994,2.15852331
2,412.040000,0.55801942,0,,,0.82989642,2.15070032
3,412.060000,0.55815744,0,,,0.84823428,2.14271782
4,412.080000,0.55830284,0,,,0.86650212,2.13457636
5,412.100000,0.55845560,0,,,0.88469855,2.12627650
6,412.120000,0.55861571,0,,,0.90282215,2.11781882
7,412.140000,0.55878317,0,,,0.92087155,2.10920390
8,412.160000,0.55895798,0,,,0.93884534,2.10043235
9,412.180000,0.55914012,0,,,0.95674215,2.09150477
10,412.200000,0.55932960,0,,,0.97456060,2.08242179
11,412.220000,0.55952640,0,,,0.99229930,2.07318405
12,412.240000,0.55973052,0,,,1.00995689,2.06379219
13,412.260000,0.55994195,0,,,1.02753200,2.05424688
14,412.280000,0.55990445,0,,,1.04502327,2.04454879
15,412.300000,0.55968493,0,,,1.06242934,2.03469861
16,412.320000,0.55947197,0,,,1.07974887,2.02469703
17,412.340000,0.55926559,0,,,1.09698049,2.01454476
18,412.360000,0.55906577,0,,,1.11412289,2.00424254
19,412.380000,0.55887255,0,,,1.13117470,1.99379108
20,412.400000,0.55868591,0,,,1.14813462,1.98319114
21,412.420000,0.55850587,0,,,1.16500131,1.97244349
22,412.440000,0.55833244,0,,,1.18177346,1.96154888
23,412.460000,0.55816563,0,,,1.19844975,1.95050810
24,412.480000,0.55800543,1,0,8,1.21502888,1.93932195
